Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Shibtala Durga Mandap (madhyamgram),Madhyamgram. Kolkata 700129,"22.692410, 88.465347",Jai Hind,4.5,Others,Community-favorite
Shimla Sporting Club Durga Puja,"Near 10. Naravan Roy Sarani, Vivekananda Rd, Sreemani Bazar, Simla. Machuabazar, Kolkata, West Bengal 700006","22.584746, 88.366783",Girish Park / Mahatma Gandhi Road,4.7,North,Community-favorite
Shobhabazar Burtolla Sarbojanin Durgotsav Samity,"67B/1. Raja Nabakrishna St. Sovabazar. Shobhabazar, Kolkata, West Bengal 700005","22.597799, 88.362992",Shobhabazar Sutanuti,4.7,North,Community-favorite
Shreenagar Durgamondop,2. 3rd Number St. Shri Nagar. Netaji Nagar. Madhyamgram. Kolkata 700129,"22.687774, 88.470417",Jai Hind,4.6,Others,Community-favorite
Sinthee Roy Para Sarbojanin Club Durga Puja Pandal,"15B Roy Para, Sinthee, Kolkata 700050","22.627106, 88.389796",Dum Dum,4.3,North,Community-favorite
Sreebhumi Durga Puja Pandal 7th Lane,"181/27, Canal St. Sreebhumi, Lake Town, South Dumdum 700048","22.599093, 88.402749",City Center/Central Park / Belgachhia,4.6,East,Community-favorite
Sri Sangha Durga Puja Area,"James Long Sarani, Bhairabitala, Behala, Kolkata 700034","22.499429, 88.320766",Behala Bazar,4.2,South,Community-favorite
Subhashpally Sarbojonin Durga Puja Pandal,"Subhas Pally, Kamdahari, Kolkata 700084","22.460125, 88.375223",Kavi Nazrul,4.4,South,Community-favorite
Swapnar Bagan Yubak Brinda Durga Puja,"175/D, Kadapara, Phoolbagan, Kankurgachi, Kolkata 700054","22.579407, 88.396007",Bengal Chemical,4.5,East,Community-favorite
Tal Betal Durga Puja,"Pasupati Bose Ln. Bag Bazar Colony. Baghbazar, Kolkata 700003","22.604712, 88.371267",Shyambazar,4.6,North,Community-favorite
Tala Palli Sadharan Durgotsab Samity,"5, Kali Kumar Banerjee Ln, Ghosh Bagan, Chitpur, Kolkata 700002","22.607397, 88.373721",Shyambazar,4.2,North,Community-favorite
Tarun Brindo Sarbojonin Durga Puja Mondop,"P 244, Purna Das Rd. Golpark, Hindustan Park, Gariahat, Kolkata 700029","22.517585, 88.360308",Kalighat / Jatin Das Park,4,South,Community-favorite
Tollygunge Nagarik Sangsad Durga Puja Area,4. Chinmoy Chatterjee Sarani. Lake Gardens. Kolkata 700033,"22.505506, 88.345971",Rabindra Sarobar,4.5,South,Community-favorite
