Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Ultadanga Pallyshree,"17/18 Jaharlal Dutta Ln. Muchibazar. Ultadanga, Kolkata 700067","22.595804, 88.384477",Belgachhia / Shyambazar,4.6,North,Traditional
Uddipani (Park Circus Sarbojanin Durgotsab),"UDDIPANI (PARK CIRCUS SARBOJANIN DURGOTSAB), Kolkata (FFD Member 2025)","22.542763, 88.370995",Kalighat / Jatin Das Park Metro,4.9,South,Award-winner
Shyampukur Sanghatirtha Durga Puja Samity,"Purnendu Shishu Udyan, Shyampukur St, Sovabazar, Kolkata 700005","22.595977, 88.369967",Shobhabazar Sutanuti,4.5,North,Award-winner
Chotushkone Park Saradia Sammilani,"Pratapaditya Rd. Sahanagar, Kalighat, Kolkata 700026","22.513245, 88.344609",Satyajit Ray,4.5,South,Award-winner
64 Pally Durgotsav Committee,"28C Satish Mukherjee Rd. Manoharpukur. Kalighat, Kolkata 700026","22.520534, 88.347459",Jatin Das Park / Kalighat,4.5,South,Award-winner
Ariadaha Jubak Sangha,"1. Mahadeb Ghosal Rd, South Nowda Para, Ariadaha, Kolkata, West Bengal 700057","22.671660, 88.362604",Dakshineswar,4.7,Others,Famous-for-lighting
Ramkrishapur Sarbojanin Durgotsab,RAMKRISHAPUR SARBOJANIN DURGOTSAB. Kolkata (FFD Member 2025),"22.727196, 88.492780",Howrah Maidan Metro,4.9,South,Award-winner
Alpha Atheletic Association,"106. Amherst Row. Manicktala. Simla. Machuabazar, Kolkata, West Bengal 700009","22.584471, 88.372705",Girish Park / Mahatma Gandhi Road,4.6,East,Traditional
Adi Lake Pally,Lake Place Rd. Lake Market. Kalighat. Kolkata 700029,"22.514445, 88.349344",Kalighat,4.6,South,Traditional
Debdaru Fatak Sarbojanin Durgotsab,"4. Panchanan Tala, Behala. Kolkata 700034","22.502471, 88.317355",Behala Bazar,4.5,South,Award-winner
Hartaki Bagan Sarbojanin Durgotsab,36. Haritaki Bagan Ln. Manicktala. Kolkata 700006,"22.586435, 88.372250",Girish Park,4.9,North,Award-winner
Barisha Tarun Tirtha,"41/3, Kalipada Mukherjee Rd, Sakher Bazar, Barisha, Kolkata 700008","22.484158, 88.319432",Behala Chowrasta,4.6,South,Traditional
Beleghata Sarbojanin Durga Puja Committee,"5 Dr Asutosh Sastri Rd. Phoolbagan, Beleghata, Kolkata 700010","22.565001, 88.395327",Phoolbagan / Salt Lake Stadium,4.8,East,Community-favorite
Behala 29 Palli,19. SN Roy Rd. Sahapur. New Alipore. Kolkata 700038,"22.507140, 88.322845",Taratala,4.7,South,Famous-for-lighting
Nirvik Sangha,"Jyangra, Baguiati. Kolkata 700159","22.607778, 88.431907",Central Park / Karunamoyee / Jessore Road,4.5,East,Award-winner
Keshtopur Prafulla Kanan Paschim Adhibasi Brinda,"AA102, Prafulla Kanan West. Kestopur. Kolkata 700101","22.607868, 88.422061",Central Park,4.9,East,Award-winner
